matrix,mode,threads,schedule,chunk,time_ms,format
matrix_mkt/bcspwr08.mtx,PAR,16.0,dynamic,1.0,0.18,CSR
matrix_mkt/bcspwr08.mtx,PAR,16.0,dynamic,10.0,0.04,CSR
matrix_mkt/bcspwr08.mtx,PAR,16.0,dynamic,50.0,0.026,CSR
matrix_mkt/bcspwr08.mtx,PAR,16.0,dynamic,100.0,0.03,CSR
matrix_mkt/bcspwr08.mtx,PAR,4.0,dynamic,0.0,0.323,CSR
matrix_mkt/bcspwr08.mtx,PAR,4.0,dynamic,1.0,0.255,CSR
matrix_mkt/bcspwr08.mtx,PAR,4.0,dynamic,10.0,0.046,CSR
matrix_mkt/bcspwr08.mtx,PAR,4.0,dynamic,50.0,0.025,CSR
matrix_mkt/bcspwr08.mtx,PAR,4.0,dynamic,100.0,0.021,CSR
matrix_mkt/bcspwr08.mtx,PAR,64.0,guided,0.0,3.51,CSR
matrix_mkt/bcspwr08.mtx,PAR,64.0,guided,1.0,0.318,CSR
matrix_mkt/bcspwr08.mtx,PAR,64.0,guided,10.0,0.115,CSR
matrix_mkt/bcspwr08.mtx,PAR,64.0,guided,50.0,0.078,CSR
matrix_mkt/bcspwr08.mtx,PAR,64.0,guided,100.0,0.08,CSR
matrix_mkt/bcspwr08.mtx,PAR,32.0,guided,0.0,0.082,CSR
matrix_mkt/bcspwr08.mtx,PAR,32.0,guided,1.0,0.082,CSR
matrix_mkt/bcspwr08.mtx,PAR,32.0,guided,10.0,0.063,CSR
matrix_mkt/bcspwr08.mtx,PAR,32.0,guided,50.0,0.046,CSR
matrix_mkt/bcspwr08.mtx,PAR,32.0,guided,100.0,0.039,CSR
matrix_mkt/bcspwr08.mtx,PAR,16.0,guided,0.0,0.049,CSR
matrix_mkt/bcspwr08.mtx,PAR,16.0,guided,1.0,0.051,CSR
matrix_mkt/bcspwr08.mtx,PAR,16.0,guided,10.0,0.04,CSR
matrix_mkt/bcspwr08.mtx,PAR,16.0,guided,50.0,0.033,CSR
matrix_mkt/bcspwr08.mtx,PAR,16.0,guided,100.0,0.03,CSR
matrix_mkt/bcspwr08.mtx,PAR,4.0,guided,0.0,0.026,CSR
matrix_mkt/bcspwr08.mtx,PAR,4.0,guided,1.0,0.025,CSR
matrix_mkt/bcspwr08.mtx,PAR,4.0,guided,10.0,0.024,CSR
matrix_mkt/bcspwr08.mtx,PAR,4.0,guided,50.0,0.022,CSR
matrix_mkt/bcspwr08.mtx,PAR,4.0,guided,100.0,0.02,CSR
matrix_mkt/bcspwr08.mtx,PAR,64.0,auto,0.0,0.064,CSR
matrix_mkt/bcspwr08.mtx,PAR,64.0,auto,1.0,0.057,CSR
matrix_mkt/bcspwr08.mtx,PAR,64.0,auto,10.0,0.062,CSR
matrix_mkt/bcspwr08.mtx,PAR,64.0,auto,50.0,0.062,CSR
matrix_mkt/bcspwr08.mtx,PAR,64.0,auto,100.0,1.253,CSR
matrix_mkt/bcspwr08.mtx,PAR,32.0,auto,0.0,0.035,CSR
matrix_mkt/bcspwr08.mtx,PAR,32.0,auto,1.0,0.033,CSR
matrix_mkt/bcspwr08.mtx,PAR,32.0,auto,10.0,0.035,CSR
matrix_mkt/bcspwr08.mtx,PAR,32.0,auto,50.0,0.033,CSR
matrix_mkt/bcspwr08.mtx,PAR,32.0,auto,100.0,0.033,CSR
matrix_mkt/bcspwr08.mtx,PAR,16.0,auto,0.0,0.029,CSR
matrix_mkt/bcspwr08.mtx,PAR,16.0,auto,1.0,0.026,CSR
matrix_mkt/bcspwr08.mtx,PAR,16.0,auto,10.0,0.026,CSR
matrix_mkt/bcspwr08.mtx,PAR,16.0,auto,50.0,0.025,CSR
matrix_mkt/bcspwr08.mtx,PAR,16.0,auto,100.0,0.027,CSR
matrix_mkt/bcspwr08.mtx,PAR,4.0,auto,0.0,0.021,CSR
matrix_mkt/bcspwr08.mtx,PAR,4.0,auto,1.0,0.019,CSR
matrix_mkt/bcspwr08.mtx,PAR,4.0,auto,10.0,0.02,CSR
matrix_mkt/bcspwr08.mtx,PAR,4.0,auto,50.0,0.02,CSR
matrix_mkt/bcspwr08.mtx,PAR,4.0,auto,100.0,0.022,CSR
matrix_mkt/bcspwr10.mtx,PAR,64.0,static,0.0,5.84,CSR
matrix_mkt/bcspwr10.mtx,PAR,64.0,static,1.0,0.245,CSR
matrix_mkt/bcspwr10.mtx,PAR,64.0,static,10.0,0.083,CSR
matrix_mkt/bcspwr10.mtx,PAR,64.0,static,50.0,0.076,CSR
matrix_mkt/bcspwr10.mtx,PAR,64.0,static,100.0,0.073,CSR
matrix_mkt/bcspwr10.mtx,PAR,32.0,static,0.0,0.049,CSR
matrix_mkt/bcspwr10.mtx,PAR,32.0,static,1.0,0.116,CSR
matrix_mkt/bcspwr10.mtx,PAR,32.0,static,10.0,0.063,CSR
matrix_mkt/bcspwr10.mtx,PAR,32.0,static,50.0,0.054,CSR
matrix_mkt/bcspwr10.mtx,PAR,32.0,static,100.0,0.051,CSR
