matrix,mode,threads,schedule,chunk,time_ms
matrix_mkt/494_bus.mtx,parallel (CSB),16,dynamic,1,0.064
matrix_mkt/494_bus.mtx,parallel (CSB),16,dynamic,10,0.059
matrix_mkt/494_bus.mtx,parallel (CSB),16,dynamic,50,0.063
matrix_mkt/494_bus.mtx,parallel (CSB),16,dynamic,100,0.059
matrix_mkt/494_bus.mtx,parallel (CSB),4,dynamic,0,0.045
matrix_mkt/494_bus.mtx,parallel (CSB),4,dynamic,1,0.045
matrix_mkt/494_bus.mtx,parallel (CSB),4,dynamic,10,0.046
matrix_mkt/494_bus.mtx,parallel (CSB),4,dynamic,50,0.043
matrix_mkt/494_bus.mtx,parallel (CSB),4,dynamic,100,0.046
matrix_mkt/494_bus.mtx,parallel (CSB),64,guided,0,0.283
matrix_mkt/494_bus.mtx,parallel (CSB),64,guided,1,0.495
matrix_mkt/494_bus.mtx,parallel (CSB),64,guided,10,4.132
matrix_mkt/494_bus.mtx,parallel (CSB),64,guided,50,0.780
matrix_mkt/494_bus.mtx,parallel (CSB),64,guided,100,3.124
matrix_mkt/494_bus.mtx,parallel (CSB),32,guided,0,0.107
matrix_mkt/494_bus.mtx,parallel (CSB),32,guided,1,0.108
matrix_mkt/494_bus.mtx,parallel (CSB),32,guided,10,0.109
matrix_mkt/494_bus.mtx,parallel (CSB),32,guided,50,0.100
matrix_mkt/494_bus.mtx,parallel (CSB),32,guided,100,0.102
matrix_mkt/494_bus.mtx,parallel (CSB),16,guided,0,0.062
matrix_mkt/494_bus.mtx,parallel (CSB),16,guided,1,0.075
matrix_mkt/494_bus.mtx,parallel (CSB),16,guided,10,0.061
matrix_mkt/494_bus.mtx,parallel (CSB),16,guided,50,0.065
matrix_mkt/494_bus.mtx,parallel (CSB),16,guided,100,0.067
matrix_mkt/494_bus.mtx,parallel (CSB),4,guided,0,0.044
matrix_mkt/494_bus.mtx,parallel (CSB),4,guided,1,0.045
matrix_mkt/494_bus.mtx,parallel (CSB),4,guided,10,0.041
matrix_mkt/494_bus.mtx,parallel (CSB),4,guided,50,0.043
matrix_mkt/494_bus.mtx,parallel (CSB),4,guided,100,0.037
matrix_mkt/494_bus.mtx,parallel (CSB),64,auto,0,2.095
matrix_mkt/494_bus.mtx,parallel (CSB),64,auto,1,7.663
matrix_mkt/494_bus.mtx,parallel (CSB),64,auto,10,1.607
matrix_mkt/494_bus.mtx,parallel (CSB),64,auto,50,0.597
matrix_mkt/494_bus.mtx,parallel (CSB),64,auto,100,2.108
matrix_mkt/494_bus.mtx,parallel (CSB),32,auto,0,0.108
matrix_mkt/494_bus.mtx,parallel (CSB),32,auto,1,0.105
matrix_mkt/494_bus.mtx,parallel (CSB),32,auto,10,0.102
matrix_mkt/494_bus.mtx,parallel (CSB),32,auto,50,0.102
matrix_mkt/494_bus.mtx,parallel (CSB),32,auto,100,0.103
matrix_mkt/494_bus.mtx,parallel (CSB),16,auto,0,0.066
matrix_mkt/494_bus.mtx,parallel (CSB),16,auto,1,0.066
matrix_mkt/494_bus.mtx,parallel (CSB),16,auto,10,0.070
matrix_mkt/494_bus.mtx,parallel (CSB),16,auto,50,0.066
matrix_mkt/494_bus.mtx,parallel (CSB),16,auto,100,0.080
matrix_mkt/494_bus.mtx,parallel (CSB),4,auto,0,0.045
matrix_mkt/494_bus.mtx,parallel (CSB),4,auto,1,0.044
matrix_mkt/494_bus.mtx,parallel (CSB),4,auto,10,0.045
matrix_mkt/494_bus.mtx,parallel (CSB),4,auto,50,0.042
matrix_mkt/494_bus.mtx,parallel (CSB),4,auto,100,0.045
matrix_mkt/bcspwr06.mtx,parallel (CSB),64,static,0,2.110
matrix_mkt/bcspwr06.mtx,parallel (CSB),64,static,1,4.678
matrix_mkt/bcspwr06.mtx,parallel (CSB),64,static,10,7.630
matrix_mkt/bcspwr06.mtx,parallel (CSB),64,static,50,3.635
matrix_mkt/bcspwr06.mtx,parallel (CSB),64,static,100,2.151
matrix_mkt/bcspwr06.mtx,parallel (CSB),32,static,0,0.116
matrix_mkt/bcspwr06.mtx,parallel (CSB),32,static,1,0.131
matrix_mkt/bcspwr06.mtx,parallel (CSB),32,static,10,0.127
matrix_mkt/bcspwr06.mtx,parallel (CSB),32,static,50,0.119
matrix_mkt/bcspwr06.mtx,parallel (CSB),32,static,100,0.111
matrix_mkt/bcspwr06.mtx,parallel (CSB),16,static,0,0.068
matrix_mkt/bcspwr06.mtx,parallel (CSB),16,static,1,0.074
matrix_mkt/bcspwr06.mtx,parallel (CSB),16,static,10,0.074
matrix_mkt/bcspwr06.mtx,parallel (CSB),16,static,50,0.078
matrix_mkt/bcspwr06.mtx,parallel (CSB),16,static,100,0.078
matrix_mkt/bcspwr06.mtx,parallel (CSB),4,static,0,0.086
matrix_mkt/bcspwr06.mtx,parallel (CSB),4,static,1,0.065
matrix_mkt/bcspwr06.mtx,parallel (CSB),4,static,10,0.068
matrix_mkt/bcspwr06.mtx,parallel (CSB),4,static,50,0.065
matrix_mkt/bcspwr06.mtx,parallel (CSB),4,static,100,0.072
matrix_mkt/bcspwr06.mtx,parallel (CSB),64,dynamic,0,1.608
matrix_mkt/bcspwr06.mtx,parallel (CSB),64,dynamic,1,1.117
matrix_mkt/bcspwr06.mtx,parallel (CSB),64,dynamic,10,5.168
matrix_mkt/bcspwr06.mtx,parallel (CSB),64,dynamic,50,0.925
matrix_mkt/bcspwr06.mtx,parallel (CSB),64,dynamic,100,1.608
matrix_mkt/bcspwr06.mtx,parallel (CSB),32,dynamic,0,0.114
matrix_mkt/bcspwr06.mtx,parallel (CSB),32,dynamic,1,0.114
matrix_mkt/bcspwr06.mtx,parallel (CSB),32,dynamic,10,0.115
matrix_mkt/bcspwr06.mtx,parallel (CSB),32,dynamic,50,0.116
matrix_mkt/bcspwr06.mtx,parallel (CSB),32,dynamic,100,0.117
matrix_mkt/bcspwr06.mtx,parallel (CSB),16,dynamic,0,0.084
matrix_mkt/bcspwr06.mtx,parallel (CSB),16,dynamic,1,0.077
matrix_mkt/bcspwr06.mtx,parallel (CSB),16,dynamic,10,0.078
matrix_mkt/bcspwr06.mtx,parallel (CSB),16,dynamic,50,0.075
matrix_mkt/bcspwr06.mtx,parallel (CSB),16,dynamic,100,0.082
matrix_mkt/bcspwr06.mtx,parallel (CSB),4,dynamic,0,0.065
matrix_mkt/bcspwr06.mtx,parallel (CSB),4,dynamic,1,0.068
matrix_mkt/bcspwr06.mtx,parallel (CSB),4,dynamic,10,0.095
matrix_mkt/bcspwr06.mtx,parallel (CSB),4,dynamic,50,0.081
matrix_mkt/bcspwr06.mtx,parallel (CSB),4,dynamic,100,0.074
matrix_mkt/bcspwr06.mtx,parallel (CSB),64,guided,0,2.648
matrix_mkt/bcspwr06.mtx,parallel (CSB),64,guided,1,1.623
matrix_mkt/bcspwr06.mtx,parallel (CSB),64,guided,10,1.113
matrix_mkt/bcspwr06.mtx,parallel (CSB),64,guided,50,1.143
matrix_mkt/bcspwr06.mtx,parallel (CSB),64,guided,100,2.646
matrix_mkt/bcspwr06.mtx,parallel (CSB),32,guided,0,0.124
matrix_mkt/bcspwr06.mtx,parallel (CSB),32,guided,1,0.116
matrix_mkt/bcspwr06.mtx,parallel (CSB),32,guided,10,0.133
matrix_mkt/bcspwr06.mtx,parallel (CSB),32,guided,50,0.120
matrix_mkt/bcspwr06.mtx,parallel (CSB),32,guided,100,0.126
matrix_mkt/bcspwr06.mtx,parallel (CSB),16,guided,0,0.076
matrix_mkt/bcspwr06.mtx,parallel (CSB),16,guided,1,0.086
matrix_mkt/bcspwr06.mtx,parallel (CSB),16,guided,10,0.078
matrix_mkt/bcspwr06.mtx,parallel (CSB),16,guided,50,0.091
matrix_mkt/bcspwr06.mtx,parallel (CSB),16,guided,100,0.079
matrix_mkt/bcspwr06.mtx,parallel (CSB),4,guided,0,0.079
matrix_mkt/bcspwr06.mtx,parallel (CSB),4,guided,1,0.071
matrix_mkt/bcspwr06.mtx,parallel (CSB),4,guided,10,0.073
matrix_mkt/bcspwr06.mtx,parallel (CSB),4,guided,50,0.082
matrix_mkt/bcspwr06.mtx,parallel (CSB),4,guided,100,0.070
matrix_mkt/bcspwr06.mtx,parallel (CSB),64,auto,0,3.130
matrix_mkt/bcspwr06.mtx,parallel (CSB),64,auto,1,11.253
matrix_mkt/bcspwr06.mtx,parallel (CSB),64,auto,10,20.030
matrix_mkt/bcspwr06.mtx,parallel (CSB),64,auto,50,12.342
matrix_mkt/bcspwr06.mtx,parallel (CSB),64,auto,100,12.263
matrix_mkt/bcspwr06.mtx,parallel (CSB),32,auto,0,0.126
matrix_mkt/bcspwr06.mtx,parallel (CSB),32,auto,1,0.122
matrix_mkt/bcspwr06.mtx,parallel (CSB),32,auto,10,0.122
matrix_mkt/bcspwr06.mtx,parallel (CSB),32,auto,50,0.117
matrix_mkt/bcspwr06.mtx,parallel (CSB),32,auto,100,0.115
