matrix,mode,threads,schedule,chunk,time_ms
matrix_mkt/494_bus.mtx,PAR,16,guided,1,0.037
matrix_mkt/494_bus.mtx,PAR,16,guided,10,0.028
matrix_mkt/494_bus.mtx,PAR,16,guided,50,0.022
matrix_mkt/494_bus.mtx,PAR,16,guided,100,0.020
matrix_mkt/494_bus.mtx,PAR,4,guided,0,0.015
matrix_mkt/494_bus.mtx,PAR,4,guided,1,0.016
matrix_mkt/494_bus.mtx,PAR,4,guided,10,0.013
matrix_mkt/494_bus.mtx,PAR,4,guided,50,0.013
matrix_mkt/494_bus.mtx,PAR,4,guided,100,0.015
matrix_mkt/494_bus.mtx,PAR,64,auto,0,0.071
matrix_mkt/494_bus.mtx,PAR,64,auto,1,0.059
matrix_mkt/494_bus.mtx,PAR,64,auto,10,0.055
matrix_mkt/494_bus.mtx,PAR,64,auto,50,0.056
matrix_mkt/494_bus.mtx,PAR,64,auto,100,0.055
matrix_mkt/494_bus.mtx,PAR,32,auto,0,0.031
matrix_mkt/494_bus.mtx,PAR,32,auto,1,0.030
matrix_mkt/494_bus.mtx,PAR,32,auto,10,0.031
matrix_mkt/494_bus.mtx,PAR,32,auto,50,0.029
matrix_mkt/494_bus.mtx,PAR,32,auto,100,0.029
matrix_mkt/494_bus.mtx,PAR,16,auto,0,0.021
matrix_mkt/494_bus.mtx,PAR,16,auto,1,0.021
matrix_mkt/494_bus.mtx,PAR,16,auto,10,0.019
matrix_mkt/494_bus.mtx,PAR,16,auto,50,0.020
matrix_mkt/494_bus.mtx,PAR,16,auto,100,0.019
matrix_mkt/494_bus.mtx,PAR,4,auto,0,0.013
matrix_mkt/494_bus.mtx,PAR,4,auto,1,0.014
matrix_mkt/494_bus.mtx,PAR,4,auto,10,0.014
matrix_mkt/494_bus.mtx,PAR,4,auto,50,0.016
matrix_mkt/494_bus.mtx,PAR,4,auto,100,0.015
matrix_mkt/bcspwr06.mtx,PAR,64,static,0,0.060
matrix_mkt/bcspwr06.mtx,PAR,64,static,1,0.119
matrix_mkt/bcspwr06.mtx,PAR,64,static,10,0.072
matrix_mkt/bcspwr06.mtx,PAR,64,static,50,0.088
matrix_mkt/bcspwr06.mtx,PAR,64,static,100,0.059
matrix_mkt/bcspwr06.mtx,PAR,32,static,0,0.033
matrix_mkt/bcspwr06.mtx,PAR,32,static,1,0.061
matrix_mkt/bcspwr06.mtx,PAR,32,static,10,0.036
matrix_mkt/bcspwr06.mtx,PAR,32,static,50,0.033
matrix_mkt/bcspwr06.mtx,PAR,32,static,100,0.034
matrix_mkt/bcspwr06.mtx,PAR,16,static,0,0.024
matrix_mkt/bcspwr06.mtx,PAR,16,static,1,0.055
matrix_mkt/bcspwr06.mtx,PAR,16,static,10,0.034
matrix_mkt/bcspwr06.mtx,PAR,16,static,50,0.027
matrix_mkt/bcspwr06.mtx,PAR,16,static,100,0.024
matrix_mkt/bcspwr06.mtx,PAR,4,static,0,0.021
matrix_mkt/bcspwr06.mtx,PAR,4,static,1,0.038
matrix_mkt/bcspwr06.mtx,PAR,4,static,10,0.025
matrix_mkt/bcspwr06.mtx,PAR,4,static,50,0.022
matrix_mkt/bcspwr06.mtx,PAR,4,static,100,0.025
matrix_mkt/bcspwr06.mtx,PAR,64,dynamic,0,0.360
matrix_mkt/bcspwr06.mtx,PAR,64,dynamic,1,0.362
matrix_mkt/bcspwr06.mtx,PAR,64,dynamic,10,0.082
matrix_mkt/bcspwr06.mtx,PAR,64,dynamic,50,0.062
matrix_mkt/bcspwr06.mtx,PAR,64,dynamic,100,0.056
matrix_mkt/bcspwr06.mtx,PAR,32,dynamic,0,0.200
matrix_mkt/bcspwr06.mtx,PAR,32,dynamic,1,0.204
matrix_mkt/bcspwr06.mtx,PAR,32,dynamic,10,0.053
matrix_mkt/bcspwr06.mtx,PAR,32,dynamic,50,0.038
matrix_mkt/bcspwr06.mtx,PAR,32,dynamic,100,0.034
matrix_mkt/bcspwr06.mtx,PAR,16,dynamic,0,0.242
matrix_mkt/bcspwr06.mtx,PAR,16,dynamic,1,0.219
matrix_mkt/bcspwr06.mtx,PAR,16,dynamic,10,0.049
matrix_mkt/bcspwr06.mtx,PAR,16,dynamic,50,0.029
matrix_mkt/bcspwr06.mtx,PAR,16,dynamic,100,0.030
matrix_mkt/bcspwr06.mtx,PAR,4,dynamic,0,0.250
matrix_mkt/bcspwr06.mtx,PAR,4,dynamic,1,0.267
matrix_mkt/bcspwr06.mtx,PAR,4,dynamic,10,0.053
matrix_mkt/bcspwr06.mtx,PAR,4,dynamic,50,0.026
matrix_mkt/bcspwr06.mtx,PAR,4,dynamic,100,0.025
matrix_mkt/bcspwr06.mtx,PAR,64,guided,0,5.122
matrix_mkt/bcspwr06.mtx,PAR,64,guided,1,0.208
matrix_mkt/bcspwr06.mtx,PAR,64,guided,10,0.136
matrix_mkt/bcspwr06.mtx,PAR,64,guided,50,0.073
matrix_mkt/bcspwr06.mtx,PAR,64,guided,100,0.066
matrix_mkt/bcspwr06.mtx,PAR,32,guided,0,0.088
matrix_mkt/bcspwr06.mtx,PAR,32,guided,1,0.081
matrix_mkt/bcspwr06.mtx,PAR,32,guided,10,0.072
matrix_mkt/bcspwr06.mtx,PAR,32,guided,50,0.047
matrix_mkt/bcspwr06.mtx,PAR,32,guided,100,0.039
matrix_mkt/bcspwr06.mtx,PAR,16,guided,0,0.047
matrix_mkt/bcspwr06.mtx,PAR,16,guided,1,0.051
matrix_mkt/bcspwr06.mtx,PAR,16,guided,10,0.040
matrix_mkt/bcspwr06.mtx,PAR,16,guided,50,0.033
matrix_mkt/bcspwr06.mtx,PAR,16,guided,100,0.028
matrix_mkt/bcspwr06.mtx,PAR,4,guided,0,0.024
matrix_mkt/bcspwr06.mtx,PAR,4,guided,1,0.022
matrix_mkt/bcspwr06.mtx,PAR,4,guided,10,0.021
matrix_mkt/bcspwr06.mtx,PAR,4,guided,50,0.020
matrix_mkt/bcspwr06.mtx,PAR,4,guided,100,0.019
matrix_mkt/bcspwr06.mtx,PAR,64,auto,0,0.601
matrix_mkt/bcspwr06.mtx,PAR,64,auto,1,0.057
matrix_mkt/bcspwr06.mtx,PAR,64,auto,10,0.057
matrix_mkt/bcspwr06.mtx,PAR,64,auto,50,4.247
matrix_mkt/bcspwr06.mtx,PAR,64,auto,100,0.063
matrix_mkt/bcspwr06.mtx,PAR,32,auto,0,0.031
matrix_mkt/bcspwr06.mtx,PAR,32,auto,1,0.030
matrix_mkt/bcspwr06.mtx,PAR,32,auto,10,0.031
matrix_mkt/bcspwr06.mtx,PAR,32,auto,50,0.038
matrix_mkt/bcspwr06.mtx,PAR,32,auto,100,0.035
matrix_mkt/bcspwr06.mtx,PAR,16,auto,0,0.022
matrix_mkt/bcspwr06.mtx,PAR,16,auto,1,0.022
matrix_mkt/bcspwr06.mtx,PAR,16,auto,10,0.023
matrix_mkt/bcspwr06.mtx,PAR,16,auto,50,0.026
matrix_mkt/bcspwr06.mtx,PAR,16,auto,100,0.024
matrix_mkt/bcspwr06.mtx,PAR,4,auto,0,0.022
matrix_mkt/bcspwr06.mtx,PAR,4,auto,1,0.016
matrix_mkt/bcspwr06.mtx,PAR,4,auto,10,0.020
matrix_mkt/bcspwr06.mtx,PAR,4,auto,50,0.018
matrix_mkt/bcspwr06.mtx,PAR,4,auto,100,0.017
matrix_mkt/bcspwr08.mtx,PAR,64,static,0,1.410
